,Title,Score,Concensus of Reviewers,Director,Release Date
0,Parasite (Gisaengchung),99%,"An urgent, brilliantly layered look at timely social themes, Parasite finds writer-director Bong Joon Ho in near-total command of his craft.",Bong Joon Ho,"Oct 11, 2019"
1,Avengers: Endgame,94%,"Exciting, entertaining, and emotionally impactful, Avengers: Endgame does whatever it takes to deliver a satisfying finale to Marvel's epic Infinity Saga.",Anthony Russo,"Apr 26, 2019"
2,Knives Out,97%,Knives Out sharpens old murder-mystery tropes with a keenly assembled suspense outing that makes brilliant use of writer-director Rian Johnson's stellar ensemble.,Rian Johnson,"Nov 27, 2019"
3,Us,93%,"With Jordan Peele's second inventive, ambitious horror film, we have seen how to beat the sophomore jinx, and it is Us.",Jordan Peele,"Mar 22, 2019"
4,Toy Story 4,97%,"Heartwarming, funny, and beautifully animated, Toy Story 4 manages the unlikely feat of extending -- and perhaps concluding -- a practically perfect animated saga.",Josh Cooley,"Jun 21, 2019"
5,The Irishman,96%,"An epic gangster drama that earns its extended runtime, The Irishman finds Martin Scorsese revisiting familiar themes to poignant, funny, and profound effect.",Martin Scorsese,"Nov 1, 2019"
6,Little Women,95%,"With a stellar cast and a smart, sensitive retelling of its classic source material, Greta Gerwig's Little Women proves some stories truly are timeless.",Greta Gerwig,"Dec 25, 2019"
7,The Farewell,98%,"The Farewell deftly captures complicated family dynamics with a poignant, well-acted drama that marries cultural specificity with universally relatable themes.",Lulu Wang,"Aug 9, 2019"
8,Booksmart,96%,"Fast-paced, funny, and fresh, Booksmart does the seemingly impossible by adding a smart new spin to the coming-of-age comedy.",Olivia Wilde,"May 24, 2019"
9,A Beautiful Day in the Neighborhood,95%,"Much like the beloved TV personality that inspired it, A Beautiful Day in the Neighborhood offers a powerfully affecting message about acceptance and understanding.",Marielle Heller,"Nov 22, 2019"
