,Name,Price,Origin,Type,Volume
0,Capanna Moscadello di Montalcino 2016(意大利托斯卡纳甜酒 - Tuscany),HK$175.00,Italy,Liqueur,750ml
1,Chateau Coutet 2014 (375ml)(法國波爾多甜酒 - Bordeaux),HK$213.00,France,Liqueur,375ml (Half)
2,Coteaux du Layon Chaume Premier Cru 2016 (500ml)(法國安茹甜酒 - Anjou),HK$236.00,France,Liqueur,500ml
3,Chateau Pierre Bise Quarts de Chaume Grand Cru 2014(法國安茹甜酒 - Anjou),HK$350.00,France,Liqueur,750ml
4,Chateau Coutet 2004(法國波爾多甜酒 - Bordeaux),HK$363.00,France,Liqueur,750ml
5,Chateau Coutet 2014(法國波爾多甜酒 - Bordeaux),HK$392.00,France,Liqueur,750ml
6,Ziraldo Riesling Icewine 2014 (375ml)(加拿大尼亞加拉半島冰酒- Niagara Peninsula),HK$426.00,Canada,Ice Wine,375ml (Half)
7,Chateau Suduiraut 2015 (法國波爾多甜酒 - Bordeaux),HK$450.00,France,Liqueur,750ml
8,Chateau D'Yquem 2003 (375ml) (法國波爾多甜酒 - Bordeaux),"HK$1,291.00",France,Liqueur,375ml (Half)
9,Chateau D'Yquem 2008 (法國波爾多甜酒 - Bordeaux),"HK$2,168.00",France,Liqueur,750ml
